Valor,ZONA,Homogeneidad,Saturacion,Potencial
"631,979.19",301,0.03268984,0.116916872,138.1021629
"874,004.54",302,0.039649595,0.154475006,149.9792267
"815,791.94",303,0.042303659,0.258457013,143.3748188
"775,290.54",304,0.040291042,0.1228464,159.6791284
"910,766.63",306,0.046408552,0.061625412,160.9978984
"739,550.70",307,0.038371296,0.218930636,134.942076
"705,020.98",309,0.038139846,0.046209418,119.6811806
"733,553.32",310,0.039424439,0.112536055,142.7061546
"650,489.03",311,0.046418691,0.094253958,163.9063429
"631,213.57",312,0.048902725,0.039713645,171.1866524
"771,561.07",313,0.037254103,0.053060413,208.6199117
"627,321.40",314,0.030191094,0.027773127,168.5416911
"808,567.77",315,0.027262371,0.0623997,208.713865
"593,976.18",316,0.038939023,0.069096235,165.2084125
"665,600.40",317,0.049324158,0.413408554,192.5660881
"866,659.30",318,0.03413353,0.065936957,220.0749943
"745,357.46",319,0.044800792,0.139770051,242.5072739
"850,367.75",320,0.036638313,0.078931774,213.3678667
"685,939.37",321,0.040341179,0.049036586,199.8389045
"1,087,647.66",322,0.059371746,0.040572792,183.7611501
"1,126,302.46",323,0.065281306,0.036839502,259.3400756
"797,310.76",324,0.044915125,0.050942146,203.5581618
"631,490.97",325,0.03259574,0.077861941,177.7250916
"684,050.02",330,0.042873396,0.055353622,140.0791445
"759,819.43",331,0.044789757,0.041908073,188.3747734
"736,211.56",332,0.045543693,0.051276165,181.8971805
"746,386.40",333,0.045683187,0.059202538,145.2925825
"828,621.47",334,0.036897266,0.044532222,160.3644331
"742,565.65",335,0.050510838,0.05588579,168.7071729
"736,476.98",336,0.04456759,0.046991368,148.6507827
"686,371.66",337,0.037214575,0.055751571,124.0610049
"732,485.58",339,0.045401351,0.058190423,196.4815072
"739,581.69",340,0.032545094,0.070083073,193.9443494
"639,429.56",341,0.045671072,0.05269884,207.4510529
"648,261.12",342,0.053721959,0.065213255,207.7765736
"675,636.16",343,0.032100201,0.04352727,154.5349206
"597,499.39",344,0.05318521,0.043389766,182.9276915
"790,191.63",345,0.04933491,0.056795552,166.9116976
"787,055.98",346,0.045512516,0.04646587,201.8036057
"676,140.03",347,0.041699532,0.067997919,153.6133508
"683,177.45",348,0.037872653,0.046612542,194.1365063
"715,655.40",349,0.042277594,0.061932993,246.2222077
"701,950.25",350,0.034642373,0.025833274,214.3797661
"1,008,598.76",351,0.055462986,0.041756252,302.5534056
"765,778.39",352,0.038499523,0.05689769,138.0458943
"274,213.44",353,0.015394659,0.182480257,63.33688876
"347,102.27",354,0.014948684,0.126979505,60.31015088
"377,174.72",355,0.015167804,0.134530701,91.46167228
