"CUENTA","GANACIA","TOTALCAMPANAS","PARTICIPACION"
1,"-138,056.88",186,0.1
123,"10,538.31",31,0.03
502,"2,597.18",121,0
727,"112,390.89",198,0.03
736,"135,557.55",202,0.07
740,"79,948.44",167,0.08
777,"-13,825.35",201,0.05
813,"386,324.43",102,0.2
926,"337,710.85",59,0.19
936,565.96,41,0
960,"8,628.14",177,0.04
"1,783","668,889.35",204,0.17
"1,854","374,767.14",204,0.18
"2,756","23,490.14",151,0.05
"2,879","55,326.74",193,0.05
"3,588","283,315.89",204,0.06
"3,996","799,711.88",204,0.18
"6,402","-3,818.34",1,1
"6,757","439,014.21",204,0.18
"6,838","34,669.36",18,0.18
"8,338","805,051.72",204,0.18
"8,507","1,317,173.24",204,0.18
"8,592","433,354.98",204,0.18
"10,002","325,470.74",65,0.2
"10,005","486,962.22",98,0.19
"10,018","12,325.61",2,0.5
"10,037","487,431.92",46,0.22
"10,060","1,685,524.88",204,0.18
"10,084","28,244.31",17,1
"10,153","863,940.4",97,0.19
"10,225","670,869.74",166,0.18
"10,236","212,623.79",80,0.2
"10,245","3,900.77",11,0.18
"10,253","59,300.68",11,0.11
"10,284","1,719.43",1,1
"10,290","68,103.06",11,1
"10,307","1,750.29",3,0.33
"10,324",-788.67,1,1
"10,332","25,883",7,0.71
"10,349","30,047.73",4,1
"10,358",523.14,1,1
"10,405","71,180.83",6,1
"10,413","347,785.59",105,0.2
"10,436","34,572.32",5,0.8
"10,450","23,638.98",164,0.04
"10,469","582,417.34",204,0.18
"10,504","-4,067.11",49,0.02
"10,540","462,920.26",204,0.18
"10,542","5,578.7",6,1
"10,543","667,245.03",143,0.16
"10,596","683,279.2",45,0.21
"10,612","10,495.37",83,0.03
"10,620","2,089.36",86,0.01
"10,661","57,588.23",20,0.18
"10,705","18,160.74",6,1
"10,709","29,919.03",13,0.05
"10,719","309,444.39",84,0.09
"10,764","30,034.57",40,0.19
"10,788","-2,955.26",2,1
"10,793","26,910.06",7,1
"10,816","341,740.33",205,0.18
"10,828","245,773.27",88,0.15
"10,861","29,669.28",147,0.04
"10,866","25,014.48",5,1
"10,881","21,340.19",4,1
"10,897","41,856.83",9,0.1
"10,901","92,760.23",9,0.09
"10,931","12,905.86",7,0.06
"10,933","19,163.85",6,0.83
"10,946","63,418.63",8,0.63
"10,952","50,724.52",187,0.06
"10,956","627,329.11",97,0.19
"10,966","579,754.12",204,0.18
"10,991","203,358.15",205,0.11
"10,996","269,970.6",203,0.18
"11,002","249,364.98",203,0.08
"11,005",976.44,1,1
"11,022","407,998.76",167,0.16
"11,029","171,024",35,0.24
"11,071","186,075.9",163,0.12
"11,076","-19,622.58",1,1
"11,079","7,194.17",125,0.06
"11,081","25,229.92",192,0.07
"11,088","1,330,189.26",204,0.18
"11,089","50,982.01",149,0.07
"11,101","133,300.94",55,0.08
"11,111","-1,315.81",1,1
"11,112","30,972.31",7,1
